"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"200092","Turnbull, Malcolm, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0072%22;src1=sm1","txt","","",""
"200094","Melham, Daryl, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0059%22;src1=sm1","txt","","",""
"200096","Anderson, John, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0049%22;src1=sm1","txt","","",""
"200104","Turnbull, Malcolm, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0069%22;src1=sm1","txt","","",""
"200106","Turnbull, Malcolm, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0061%22;src1=sm1","txt","","",""
"200111","Mirabella, Sophie, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0053%22;src1=sm1","txt","","",""
"200115","Windsor, Antony, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0071%22;src1=sm1","txt","","",""
"200117","O’Connor, Gavan, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0054%22;src1=sm1","txt","","",""
"200118","Sercombe, Bob, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0060%22;src1=sm1","txt","","",""
"200119","Windsor, Antony, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0050%22;src1=sm1","txt","","",""
"200122","Causley, Ian, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0055%22;src1=sm1","txt","","",""
"200125","Georganas, Steve, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0058%22;src1=sm1","txt","","",""
"200126","Gibbons, Steve, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0057%22;src1=sm1","txt","","",""
"250995","Stone, Dr Sharman, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2010-10-20%2F0208%22;src1=sm1","txt","","",""
"679789","Katter, Bob, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0223%22;src1=sm1","txt","","",""
"679792","Wilkie, Andrew, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0224%22;src1=sm1","txt","","",""
"679793","McCormack, Michael, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0221%22;src1=sm1","txt","","",""
"679794","Stone, Dr Sharman, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0222%22;src1=sm1","txt","","",""
"679795","Katter, Bob, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0228%22;src1=sm1","txt","","",""
"679796","Windsor, Tony, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0226%22;src1=sm1","txt","","",""
"679801","Gibbons, Steve, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0227%22;src1=sm1","txt","","",""
"679803","Burke, Tony, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0225%22;src1=sm1","txt","","",""
"679807","Burke, Anna, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F9b96ae59-96ca-4e39-b984-8b520b432ef5%2F0230%22;src1=sm1","txt","","",""
"690363","Rhiannon, Sen Lee","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F146f9d31-6489-4c70-b0f4-3903d790744e%2F0099%22;src1=sm1","txt","","",""
"691030","Joyce, Sen Barnaby","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F199fb3af-7aad-4b05-9b94-c20c82cab1ce%2F0278%22;src1=sm1","txt","","",""
"705821","Feeney, Sen David","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2Fa313cbaa-0111-489d-96e4-ef24e85fa333%2F0231%22;src1=sm1","txt","","",""
"705827","Hanson-Young, Sen Sarah","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2Fa313cbaa-0111-489d-96e4-ef24e85fa333%2F0230%22;src1=sm1","txt","","",""
"705828","Milne, Sen Christine","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2Fa313cbaa-0111-489d-96e4-ef24e85fa333%2F0233%22;src1=sm1","txt","","",""
"705836","Joyce, Sen Barnaby","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2Fa313cbaa-0111-489d-96e4-ef24e85fa333%2F0239%22;src1=sm1","txt","","",""
"705837","Collins, Sen Jacinta","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2Fa313cbaa-0111-489d-96e4-ef24e85fa333%2F0238%22;src1=sm1","txt","","",""
